DATA;TÍTULO;VEICULO;CATEGORIA DO VEÍCULO;BLOCO TEMÁTICO;TEMA PRINCIPAL;TEMA 2;INFORMAÇÃO DUPLICADA;Categorias da Reparação Socioambiental;Assuntos relacionados à Categorias;URL;OBS
29/04/2024;MPMG participa de inauguração da Biofábrica Método Wolbachia;MPMG;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;;https://www.mpmg.mp.br/portal/menu/comunicacao/noticias/mpmg-participa-de-inauguracao-da-biofabrica-metodo-wolbachia-8A9480688E44F577018F2BEFD69E55CC-00.shtml;
09/05/2024;Biofábrica Wolbachia: medidas do Acordo de Reparação de Brumadinho fortalecem saúde na região atingida;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/biofabrica-wolbachia-medidas-do-acordo-de-reparacao-de-brumadinho-fortalecem-saude-na-regiao-atingida;
14/05/2024;Saúde discute ações de reparação nos municípios da Bacia do Rio Paraopeba;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/saude-discute-acoes-de-reparacao-nos-municipios-da-bacia-do-rio-paraopeba;
23/05/2024;Programa para fomentar agricultura avança com novas entregas aos produtores de Brumadinho;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Economia;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/programa-para-fomentar-agricultura-avanca-com-novas-entregas-aos-produtores-de-brumadinho;
11/06/2024;Reparação Brumadinho: Prefeituras ganham protagonismo para elaborar e executar R$ 1,4 bilhão de projetos de saneamento básico na região atingida;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/reparacao-brumadinho-prefeituras-ganham-protagonismo-para-elaborar-e-executar-r-1-4-bilhao-de-projetos-de-saneamento-basico-na-regiao-atingida;
20/06/2024;Secretaria de Agricultura destaca a entrega de títulos de regularização fundiária em audiência do Assembleia Fiscaliza;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Economia;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/secretaria-de-agricultura-destaca-a-entrega-de-titulos-de-regularizacao-fundiaria-em-audiencia-do-assembleia-fiscaliza-2024-06-20-17-35-00-0300;
25/06/2024;MPMG e outras instituições visitam comunidades quilombolas de Brumadinho e promovem encontro sobre Acordo Judicial em Córrego do Feijão;MPMG;Portal de Notícias;Meio Socioeconômico;Comunicação Social;;NÃO;0 - Não aplicado;;https://www.mpmg.mp.br/portal/menu/comunicacao/noticias/mpmg-e-outras-instituicoes-visitam-comunidades-quilombolas-de-brumadinho-e-promovem-encontro-sobre-acordo-judicial-em-corrego-do-feijao.shtml;
27/06/2024;Reparação Brumadinho: Consulta Popular para Povos e Comunidades Tradicionais completa 50 reuniões;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Comunicação Social;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/reparacao-brumadinho-consulta-popular-para-povos-e-comunidades-tradicionais-completa-50-reunioes;
02/07/2024;Minas Gerais anuncia fim de emergência em saúde pública devido ao cenário das arboviroses;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/minas-gerais-anuncia-fim-de-emergencia-em-saude-publica-devido-ao-cenario-das-arboviroses;
04/07/2024;Com recursos da reparação pelo rompimento da barragem de Brumadinho, prefeituras executarão obras de saneamento básico;MPMG;Portal de Notícias;Meio Socioeconômico;Saúde;;SIM;0 - Não aplicado;;https://www.mpmg.mp.br/portal/menu/comunicacao/noticias/com-recursos-da-reparacao-pelo-rompimento-da-barragem-de-brumadinho-prefeituras-executarao-obras-de-saneamento-basico.shtml;
04/07/2024;Reparação Brumadinho: Governo de Minas e Instituições de Justiça apresentam a prefeituras detalhes sobre execução das iniciativas de saneamento básico;AGÊNCIA MINAS;Portal de Notícias;Meio Socioeconômico;Saúde;;NÃO;0 - Não aplicado;;https://www.agenciaminas.mg.gov.br/noticia/reparacao-brumadinho-governo-de-minas-e-instituicoes-de-justica-apresentam-a-prefeituras-detalhes-sobre-execucao-das-iniciativas-de-saneamento-basico;
